,NON ATTRIBUITO,VIA USSI STEFANO   4,9,CENTRO SPORTIVO,,
,S.S. BAGGIO 2,VIA OLIVIERI ALESSIO   11,7,CALCIO A 11,,024599310
0239210739,LIDO DI MILANO,PLE LOTTO LORENZO   15,8,MINI GOLF,www.milanosport.it,0239266100
,COOP. AGRISPORT SEZIONE CALCIO,VIA DEL RICORDO   58,2,CENTRO SPORTIVO,,0227207742
,SOCIETA GINNASTICA MILANO 2000,VIA MARTIGNONI ADELE   1  A,2,CENTRO SPORTIVO,,02603288
,PRO PATRIA MILANO S.R.L.,VLE SARCA   205,9,ATLETICA,,026437519
,A.S.D. ATLETICO MILANO,VIA DEI CICLAMINI   18,6,CENTRO SPORTIVO,,024120207
,NON ATTRIBUITO,VIA DEGLI ANEMONI   8,6,CENTRO SPORTIVO,,0288456074
025468795,A.S. CALVAIRATE,VIA VISMARA GASPARE   3,4,CALCIO A 11,www.ascalvairate.com,025462083
,TENNIS CLUB AMBROSIANO,VIA FELTRE   33,3,CENTRO SPORTIVO,,0226414392
,G.S. LOMBARDINA,VIA SBARBARO CAMILLO   1,9,CALCIO A 11,,026469651
,S.S. SCARIONI 1925,VIA TUCIDIDE   10,3,CALCIO A 11,,0270102158
0248929182,MILANO SPORT SPA,VIA ARIOLI VENEGONI   9,7,PISCINA,www.milanosport.it,024566316
0248376073,MILANO SPORT SPA,VIA DEL CARDELLINO   3,6,NUOTO,www.milanosport.it,02417948
,CONI FIS CIRCOLO SPADA  MANGIAROTTI,VLE TUNISIA   35,2,PALESTRA,,026590166
0269540375,MILANO SPORT SPA,VIA SANT' ABBONDIO   12,5,PISCINA,www.milanosport.it,028466861
0243983187,MILANO SPORT SPA,VIA MONTEVIDEO   11,6,NUOTO,www.miltanosport.it,024695278
,COOPERATIVA DRIMS,VIA MECENATE   74,4,CENTRO SPORTIVO,,025061277
0289306784,LUIGI CARRARO,VIA DEI MISSAGLIA   146,5,CENTRO SPORTIVO,www.milanosport.it,028266540
,GIANNI BRERA,VLE BYRON GIORGIO   2,1,CENTRO SPORTIVO,www.comune.milano.it,02341924
,EMILIO COLOMBO,VIA DEL CARDELLINO   15,6,CENTRO SPORTIVO,,02410976
,U.S. VISCONTINI,VIA GIORGI FERDINANDO   10,8,CENTRO SPORTIVO,,024526610
0233494959,MARCO CAPPELLI - GIUSEPPE SFORZA,VIA LAMPUGNANO   80,8,CENTRO SPORTIVO,www.milanosport.it,0238004525
0240918173,MILANO SPORT SPA,VIA LAMENNAIS F.R.   20,7,PISCINA,www.milanosport.it,024526095
023762283,GIORDANO MASSOLA,VIA DON MINZONI GIOVANNI   4,9,CENTRO SPORTIVO,www.acgaribaldina1932.net,023762283
,A.S. IDEA SPORT PALLACANESTRO,VIA BRIVIO   1,8,CENTRO SPORTIVO,,0233403435
0239262162,XXV APRILE,VIA CIMABUE GIOVANNI   24,8,ATLETICA,www.milanosport.it,0239210769
0270200295,MARIO SAINI,VIA CORELLI ARCANGELO   136,3,CENTRO SPORTIVO,www.milanosport.it,027561280
0256810426,MILANO SPORT SPA,VIA MINCIO   13,4,PISCINA,www.milanosport.it,02538416
0248713719,GIUSEPPE MEAZZA,VIA DEI PICCOLOMINI 5,7,CENTRO SPORTIVO,www.sansiro.net,0248713713
,CAMERONI,VIA BECHI GIULIO   2,2,CENTRO SPORTIVO,www.crespimorbio.it,022576740
,S.S. SAVORELLI 1937,PZA CADUTI DEL LAVORO   5,5,CENTRO SPORTIVO,,0289511889
,A.C. ALDINIANA,VIA GRAF ARTURO   4,8,CENTRO SPORTIVO,,023574408
,U.S. ALDINI - BARIVIERA,VIA ORSINI FELICE   84,8,CALCIO A 5,,023557909
,F.C. ENOTRIA 1908,VIA CAZZANIGA CARLO   26,3,CALCIO A 11,,022566673
,FEDERAZIONE BRIDGE,VIA WASHINGTON GIORGIO   33,7,CENTRO SPORTIVO,,024691424
,CANOTTIERI MILANO,ALZ NAVIGLIO GRANDE   160,6,CENTRO SPORTIVO,,0248951211
,U.S. DINDELLI,VIA TREVIGLIO   6,2,CALCIO A 11,,022552386
,CARASSAI,VIA SANT' ABBONDIO   4,5,CALCIO A 11,www.fcvigejunior.it,0289500644
,S.S. IRIS 1914,VIA FARADAY MICHELE   15,6,CENTRO SPORTIVO,,0289121876
,COM. PROVINCIALE MOVIMENTO SPORT AZZURRO ITALIA,VIA PARENZO   2  A,6,CENTRO SPORTIVO,www.centrosportivoparenzo.it,028910351
,COOP. SPORTIVA VALLA,VIA VALLA LORENZO   1,5,TENNIS,,028465872
,A.S. TENNIS CLUB ANEMONI,VIA PONTI GIO'   3,6,CENTRO SPORTIVO,,024123436
,TC PORTA ROMANA,VIA SABINA   9,4,TENNIS,,0288456084
,A.S. JUNIOR TENNIS DARIO MATTEI GENTILI,VIA CAVRIANA   45,4,CENTRO SPORTIVO,,027388222
,POLISPORTIVA LE LUMACHE,VIA BARI   20,6,CENTRO SPORTIVO,,0288454398
,ASS.  POL.  ACCADEMIA INTERNAZIONALE CALCIO,VIA CILEA FRANCESCO   51,8,CENTRO SPORTIVO,,023539101
,A.S. UNIONE LOMBARDA,VIA PONTI GIO'   1,6,CENTRO SPORTIVO,,024152169
,COOP. AICS OLMI,VIA MOSCA ANTONIO   67,7,CENTRO SPORTIVO,,024564802
,ROGOREDO 84 A.S.D.,VIA PIZZOLPASSO FRANCESCO  25,4,CENTRO SPORTIVO,www.rogoredo84.it,0255700188
,A.S. BARONA,VIA SAN PAOLINO   9,6,CENTRO SPORTIVO,,028435661
,AS MOJAZZA,VIA PRAMPOLINI CAMILLO   3,9,GINNASTICA,www.asmojazza.org,340786269
,FEDERAZIONE ITALIANA GIOCO CALCIO,VIA LAGO DI NEMI   29,6,CENTRO SPORTIVO,www.centrosportivobettinelli.it,0236530766
,TENNIS SQUASH MEDIOLANUM,VIA MONTI VINCENZO   57 A,1,CALCIO A 5,,024690405
,CIRCOLO BOCCIOFILO CACCIALANZA PIETRO,VIA PADOVA   91,2,BOCCIODROMO,,022826059
0266118268,MILANO SPORT SPA,VIA BECCALI LUIGI   7,9,PISCINA,www.milanosport.it,0266103113
,FIN FEDERAZIONE ITALIANA NUOTO LAMPUGNANO,VIA LAMPUGNANO   76,8,PISCINA,,023088390
,CENTRO BALNEARE GIUSEPPE CAIMI,VIA BOTTA CARLO   18,4,NUOTO,www.milanosport.it,
,FRANCO SCARIONI,VIA VALFURVA   9,9,CENTRO BALNEARE,www.milanosport.it,026424236
,COMASINA A.S.D.,VIA SALEMI   19,9,CALCIO A 11,,0266202505
,A.C. BRUZZANO,VIA COMASINA   115,9,CALCIO A 11,,026458357
,A.S. TENNIS CLUB LOMBARDO,VIA SISMONDI GIANCARLO   8,4,CALCIO A 5,,0270123145
,NUOVA CANOTTIERI OLONA,ALZ NAVIGLIO GRANDE   146,6,CENTRO SPORTIVO,,0248951494
,POLITECNICO DI MILANO - CS MARIO GIURIATI,VIA CARLO PASCAL 6,3,CENTRO SPORTIVO,,0270600358
,MARIA REGINA PACIS,VIA KANT EMANUELE   8,8,CALCIO A 11,,0288456074
,SANTA BARBARA IN GRATOSOGLIO,VIA FERABOLI ACHILLE   27,5,CENTRO SPORTIVO,,0288454398
,SANTA MARIA ASSUNTA IN QUINTOSOLE,VIA QUINTOSOLE 40,5,CENTRO SPORTIVO,,
,SANTA MARIA MADRE DELLA CHIESA,VIA SAPONARO MICHELE   28,5,CENTRO SPORTIVO,,
,SAN GIOVANNI BONO,VIA SAN PAOLINO   20,6,PALLACANESTRO,,
,SACRA FAMIGLIA IN ROGOREDO,VIA MONTE PARALBA   15,4,CENTRO SPORTIVO,,
,SANTA MARIA LIBERATRICE,VIA SOLAROLI PAOLO   11,5,CALCIO A 11,,
,SAN MICHELE ARCANGELO E SANTA RITA,VIA DEI CINQUECENTO   1,4,CENTRO SPORTIVO,www.smsr.it,
,OGNISANTI,VIA BESSARIONE   25,4,CENTRO SPORTIVO,,
,SAN GREGORIO BARBARIGO,VIA BORDIGHERA   46,5,CENTRO SPORTIVO,,
,SANTI QUATTRO EVANGELISTI,VIA PEZZOTTI GIOVANNI   53,5,CENTRO SPORTIVO,www.4evangelisti.net,
,SAN SILVESTRO,VIA LODOVICO IL MORO   171,6,CENTRO SPORTIVO,,
,SANTI NAZARO E CELSO,VIA ZUMBINI BONAVENTURA   19,6,CENTRO SPORTIVO,www.parrocchiabarona.it,
,MADONNA DELLA MEDAGLIA MIRACOLOSA,VIA F.LLI ROSSELLI   6,4,CENTRO SPORTIVO,,
,SANTA MARIA DI CARAVAGGIO,VIA BRIOSCHI FRANCESCO   38,5,CENTRO SPORTIVO,,
,SAN LUIGI GONZAGA,VIA TAGLIAMENTO   10,4,CENTRO SPORTIVO,,
,BEATAVERGINE ADDOLORATA,VLE UNGHERIA   32,4,CENTRO SPORTIVO,,
,SAN CIPRIANO,VIA D'ADDA CARLO   31,6,PALLACANESTRO,,
,SAN CURATO D'ARS,LGO GIAMBELLINO   127,6,CENTRO SPORTIVO,,
,SANT'ANDREA,VIA CREMA   24,5,CENTRO SPORTIVO,,
,BEATA VERGINE IMMACOLATA E SANT'ANTONIO,VLE CORSICA   68,4,CENTRO SPORTIVO,,
,PREZIOSISSIMO SANGUE DI N.S.G.C.,VIA CIPRO   10,4,CENTRO SPORTIVO,,
,MADONNA DEI POVERI,PZA MADONNA DEI POVERI   1,7,TENNIS,,
,GESU' BUON PASTORE E S. MATTEO,VIA CABOTO SEBASTIANO   2,7,CENTRO SPORTIVO,,
,SAN VITTORE AL CORPO,VIA DEGLI OLIVETANI   3,1,CENTRO SPORTIVO,,
,SANTA MARIA DEL SUFFRAGIO,VIA BONVESIN DE LA RIVA   2,4,CENTRO SPORTIVO,,
,SANTI MM. NABORE E FELICE,VIA GULLI TOMMASO   62,7,CENTRO SPORTIVO,,
,SAN PROTASO,VIA OSOPPO   2,7,CENTRO SPORTIVO,,
,SANTA CROCE,VIA GOLDONI CARLO   75,3,CENTRO SPORTIVO,,
,SANTI MARTIRI NEREO E ACHILLEO,PZA SAN GEROLAMO   15,3,CENTRO SPORTIVO,,
,SAN VINCENZO DE' PAOLI,VIA PISACANE CARLO   32,3,CALCIO A 11,,
,MATER AMABILIS,VIA PREVIATI GAETANO   8,7,CENTRO SPORTIVO,,
,SAN MARCO,PZA SAN MARCO   2,1,CENTRO SPORTIVO,,
,BEATA VERGINE ADDOLORATA IN S. SIRO,PZA ESQUILINO   1,7,CENTRO SPORTIVO,,
,SANTA ELENA,PZA SANT' ELENA   5,7,CENTRO SPORTIVO,,
,MADONNA DELLA DIVINA PROVVIDENZA,VIA ARPINO   11,7,CENTRO SPORTIVO,,
,ORATORIO S. GIUSEPPE,VIA REDI FRANCESCO   21,3,CENTRO SPORTIVO,,
,SAN PIO X,VIA VILLANI GIOVANNI   2,3,CENTRO SPORTIVO,,
,SAN MARTINO IN LAMBRATE,VIA DEI CANZI   28,3,CENTRO SPORTIVO,,
,SANTO SPIRITO,VIA BASSINI EDOARDO   50,3,CENTRO SPORTIVO,,
,SANTA MARIA NASCENTE,PZA SANTA MARIA NASCENTE   2,8,CENTRO SPORTIVO,,
,SACRO VOLTO,VIA BORSIERI PIETRO   18,9,CENTRO SPORTIVO,,
,SAN IGNAZIO DI LOYOLA,VIA PISANI DOSSI CARLO ALBERTO   25,3,CENTRO SPORTIVO,,
,SANT'AGOSTINO,VIA COPERNICO NICOLO'   9,2,CALCIO A 11,,
,SAN GIOVANNI BATTISTA IN TRENNO,VIA RATTI LUIGI   24,8,CENTRO SPORTIVO,,
,SANTA CECILIA,VIA DELLA CASA GIOVANNI   15,8,CENTRO SPORTIVO,,
,SAN ROCCO AL GENTILINO,PZA CARO TITO LUCREZIO   7,5,CENTRO SPORTIVO,,
,SANTA MARCELLINA,VIA MOSCA ANTONIO   185,7,CENTRO SPORTIVO,,
,SANTI ANGELI CUSTODI,VIA COLLETTA PIETRO   21,4,CENTRO SPORTIVO,,
,SUORE MISERICORDINE,VIA CORSICO   10,6,CENTRO SPORTIVO,,
,SAN EUGENIO,VIA DEL TURCHINO   9,4,CENTRO SPORTIVO,,
,SAN PIO V,VIA LATTANZIO   60,4,CENTRO SPORTIVO,,
,MADONNA DELLA FEDE,VIA DELLE BETULLE   16,7,CENTRO SPORTIVO,,
,SAN GALDINO,VIA SALOMONE ORESTE   23,4,CENTRO SPORTIVO,,
,SAN GIOVANNI BATTISTA ALLA CRETA,PZA SAN GIOVANNI BATTISTA ALLA CRETA   11,6,CENTRO SPORTIVO,,
,SAN VINCENZO IN PRATO,VIA CONCA DEL NAVIGLIO   28,1,CENTRO SPORTIVO,,
,SANTA MARIA DEL ROSARIO,VIA BERGOGNONE AMBROGIO DA FOSSANO   8,6,CENTRO SPORTIVO,,
,SAN FRANCESCO DI SALES,VIA DELLA COMMENDA   37,1,CALCIO A 11,,
,SAN PIER GIULIANO EYMARD,VIA VALSESIA   96,7,CENTRO SPORTIVO,www.sanpiergiuliano.org,
0255011903,SANTI SILVESTRO E MARTINO,VLE LAZIO   19,4,CENTRO SPORTIVO,www.silvestromartino.com,0255189340
,CASA OPERE PARROCHIALI,VIA SFORZA FRANCESCO   44,1,CENTRO SPORTIVO,,
,SAN NICOLAO DELLA FLUE,VIA DALMAZIA   11,4,TENNIS,www.sannicolao.it,
,SAN LUIGI,VIA CABELLA BARTOLOMEO   18,7,CENTRO SPORTIVO,,
,SAN GIOVANNI CRISOTOMO,VIA CAMBINI LEONARDO   10,2,CENTRO SPORTIVO,,
,SANT'ANGELA MERICI PADRI SACRAMENTINI,VIA CAGLIERO GIOVANNI   26,2,CENTRO SPORTIVO,,
,GESU' MARIA E GIUSEPPE,VIA MAC MAHON   113,8,CENTRO SPORTIVO,,
,SANTA MARIA ASSUNTA IN TURRO,PZA ANELLI GIACOMO   4,2,CENTRO SPORTIVO,,0288454398
0240910888,HARBOUR CLUB MILANO,VIA CASCINA BELLARIA   19,7,BODY BUILDING,,02452861
,MILAN CLUB S. APOLLINARE,VIA CASTROVILLARI   14,7,CENTRO SPORTIVO,,0288456084
,J.F. KENNEDY,VIA OLIVIERI ALESSIO   15,7,BASEBALL,,0247996783
,ISTITUTO LEONE XIII,VIA ROSSETTI GABRIELE   4,8,CENTRO SPORTIVO,,024385021
,ASSOCIAZIONE QUARTO OGGIARO VIVIBILE,VIA INVERNIZIO CAROLINA   7,8,PALLACANESTRO,,023574577
,A.S. SEMPIONE HALF 1919,VIA ALDINI ANTONIO   77,8,CENTRO SPORTIVO,,0239002250
,CLUB DEGLI AMICI VILLAPIZZONE,VIA PERIN DEL VAGA   11,8,CENTRO SPORTIVO,,023086773
,G.S. S. ROMANO,VIA ARMANDO PICCHI    1,8,CENTRO SPORTIVO,,0238100024
,ASSOCIAZIONE  TENNIS CLUB NIEVO IPPOLITO,VIA UGUCCIONE DA PISA   1,8,CENTRO SPORTIVO,,0288456074
,FEDERAZIONE ITALIANA BOCCE BOCC. CANDIANI,VIA CANDIANI GIUSEPPE    26,9,BOCCIODROMO,,023760633
,SOCIETA' COOP. A R.L. TENNIS MASTER,VIA GOVONE GIUSEPPE   67,8,TENNIS,,023494041
,A.S. MASSERONI MARCHESE,VIA MADRUZZO CRISTOFORO   3,8,CALCIO A 11,,02466142
,GIOVANNI MAURO,VIA USSI STEFANO   18,9,CENTRO SPORTIVO,www.villacalcio.milano.it,026435564
0258100012,MILANO SPORT SPA,VIA SEGANTINI GIOVANNI   6,6,CENTRO BALNEARE,www.milanosport.it,0258100012
,SANTI GIOVANNI E PAOLO,VIA CATONE MARCO PORCIO   10,9,CENTRO SPORTIVO,,
,SANTA MARCELINA E SAN GIUSEPPE ALLA CERTOSA,VLE ESPINASSE CARLO   85,8,CENTRO SPORTIVO,,
,SAN GEROLAMO EMILIANI,VIA CALABRIA DON GIOVANNI   36,3,CENTRO SPORTIVO,,
,SAN MARTINO IN VILLAPIZZONE,PZA VILLAPIZZONE   10,8,CENTRO SPORTIVO,,
,SANTA TERESA DEL BAMBIN GESU',VIA ARISTOTELE   8,2,CENTRO SPORTIVO,,
,SAN CARLO ALLA CA' GRANDA,LGO RAPALLO   5,9,CENTRO SPORTIVO,,
,QIQJAN,VIA FARINI CARLO   17,8,CENTRO SPORTIVO,,
,SACRA FAMIGLIA,VIA BUONARROTI MICHELANGELO   49,8,CENTRO SPORTIVO,,
,SAN SIMPLICIANO,PZA SAN SIMPLICIANO   7,1,CALCIO A 11,,
,SAN FRANCESCO D'ASSISI AL FOPPONINO,VIA GIOVIO PAOLO   41,7,CENTRO SPORTIVO,,
,SANT'AMBROGIO,PZA SANT' AMBROGIO   15,1,CENTRO SPORTIVO,,
,ISITUTO CASATI,VIA ARENA   13,1,CENTRO SPORTIVO,,
,ISTITUTO SUORE SANTA DOROTEA DI CEMMO,VLE GIOVANNI DA CERMENATE   4,5,CENTRO SPORTIVO,,
,SANTA MARIA ANNUNCIATA IN CHIESA ROSSA,VIA NEERA ANNA   24,5,CENTRO SPORTIVO,,
,ISTITUTO ZACCARIA,VIA DELLA COMMENDA   3,1,CENTRO SPORTIVO,,
,MONASTERO S. BENEDETTO,VIA BELLOTTI FELICE   10,3,FITNESS MACCHINE,,
,MARIA AUSILIATRICE,VLE SUZZANI GIOVANNI   64,9,CENTRO SPORTIVO,,
,SANTA MARIA ROSSA,VIA BERRA DOMENICO   11,2,CENTRO SPORTIVO,,
,ANNUNCIAZIONE,VIA SCIALOIA VITTORIO   5,9,CENTRO SPORTIVO,,
,SAN MICHELE ARCANGELO IN PRECOTTO,VLE MONZA   224,2,CENTRO SPORTIVO,www.parrocchiasanmicheleprecotto.org,
,SAN FILIPPO NERI IN BOVISASCA,VIA GABBRO   2,9,CENTRO SPORTIVO,,
,SANT'AGNESE,VIA ARSIA   3,8,CENTRO SPORTIVO,,
,SANTA LUCIA,VIA DE ROBERTO FEDERICO   20,8,CENTRO SPORTIVO,,
,SAN MARTINO IN NIGUARDA,PZA BELLOVESO   5,9,CENTRO SPORTIVO,,
,G.S. LA SPEZIA CALCIO,VLE FAMAGOSTA   79,6,CENTRO SPORTIVO,,0289501307
,FEDERAZIONE GINNASTICA D'ITALIA,VIA OVADA   40,6,CENTRO SPORTIVO,www.fgilombarida.it,0289122083
,PALAUNO,LARGO BALESTRA ANTONIO   5,6,CENTRO SPORTIVO,,024235448
0248300873,GIORDANO DELL'AMORE,VIA GONIN FRANCESCO   16,6,CENTRO SPORTIVO,www.lorenteggio.sistemacalcio.com,0248300873
,A.S. CAMPO OLIMPIA,VIA SODERINI LUIGI   41 2,6,CENTRO SPORTIVO,,
,U.S.  ACLI  I  S.C.R.L.,VIA LOPE DE VEGA FELICE   35,6,CENTRO SPORTIVO,www.aclimilano.com/impianti,0289128379
024121821,AGORA',VIA DEI CICLAMINI   23,6,CENTRO SPORTIVO,www.stadioghiaccio.it,0248300946
,ISTITUTO SALESIANO DON BOSCO,VIA GIOIA MELCHIORRE   50,2,CENTRO SPORTIVO,,
,ACCADEMIA DEL KARATE STUDIO SHIRAI,VIA FRIULI   65,4,GINNASTICA,, 025516054
02782693,STUDIO PILATES SRL,VIA MORELLI GIOVANNI   4,1,GINNASTICA,,02782693
023088183,FUORI DI DANZA SNC DI C. RICHARDSON E G. RIVA,VIA GALLARATE   50,8,GINNASTICA,,023088183
,ALBERO DELLA VITA,VIA GORKI MASSIMO   1,6,GINNASTICA,,02428675
0229529213,PALESTRA LORINI CENTRO BENESSERE JING QI,VIA KRAMER ANTONIO   32,3,GINNASTICA,, 0229529213
025513785,ISTITUTO EDMONDO DE AMICIS,VIA LAMARMORA ALFONSO   34,1,GINNASTICA,,0255195153
0248009979,ISTITUTO LEONE XIII,VIA LEONE XIII   12,8,GINNASTICA,,024385021
0229536117,MILANO SPORT SPA,VIA PICCINNI NICOLA   8,3,PISCINA,www.milanosport.it,0229400393
0243983187,MILANO SPORT SPA,VIA MONTEVIDEO   11,6,PISCINA,www.miltanosport.it,024695278
0233202100,CANTU',VIA GRAF ARTURO   8,8,PISCINA,www.milanosport.it,023559104
,MILANO SPORTIVA A.S.D,VIA ISEO   10,9,NUOTO,www.csiseo.it,0297384581
,MILANO SPORTIVA A.S.D,VIA ISEO   4,9,TENNIS,www.csiseo.it,0297384581
,ANTONIO MASPES - VIGORELLI,VIA ARONA   19,8,CENTRO SPORTIVO,www.milanosport.it,023311513
0239210739,LIDO DI MILANO,PLE LOTTO LORENZO   15,8,CENTRO SPORTIVO,www.milanosport.it,0239266100
0239210739,PALALIDO,PZA STUPARICH CARLO   1,8,CENTRO SPORTIVO,www.milanosport.it,0239266100
0239262162,XXV APRILE,VIA CIMABUE GIOVANNI   24,8,CENTRO SPORTIVO,www.milanosport.it,0239262162
,SAN GIOVANNI BATTISTA ALLA BICOCCA,VIA LA FARINA GIUSEPPE   15,9,CENTRO SPORTIVO,,
,SANTA GIUSTINA,VLE AFFORI   12,9,CENTRO SPORTIVO,,
,RESURREZIONE,VIA LESSONA MICHELE   70,8,CENTRO SPORTIVO,,
,CRISTO RE,VIA GALENO CLAUDIO   32,2,CENTRO SPORTIVO,,
,SAN BERNARDO IN COMASINA,PZA GASPARRI PIETRO   11,9,CENTRO SPORTIVO,,
,ORATORIO CENTRO GIOVANILE SAN LUIGI,VIA ACERBI ENRICO   12,9,PALLACANESTRO,,
,SAN BASILIO,VIA CAROLI LUIGI   12,2,CENTRO SPORTIVO,,
,A.C. CRESCENZAGO,VIA TRASIMENO   25,2,CENTRO SPORTIVO,www.ac-crescenzago.it,027207408
,FIN FEDERAZIONE ITALIANA NUOTO SAMUELE,VIA TRANI   1,4,PISCINA,,025061347
02502918,A.C. MACALLESI 1927,VLE UNGHERIA   5,4,CENTRO SPORTIVO,www.macallesi.it,025061901
,ASSOCIAZIONE  TENNIS PORTA ROMANA,LGO PARENTI FRANCO   2,4,FITNESS MACCHINE,,025460946
,C.S. FATIMA,VIA CHOPIN FEDERICO   81,5,CENTRO SPORTIVO,,025693053
,A.S. LOMBARDIA UNO POLISPORTIVA,VIA DE NICOLA ENRICO   3,6,CENTRO SPORTIVO,,028135386
,ASSOCIAZIONE SPORTIVA 70A DANCE & FITNESS,VLE ABRUZZI   70  A,3,FITNESS MACCHINE,,0229406119
,ACQUAMICA SRL,VIA DI TOCQUEVILLE ALESSIO   7,9,FITNESS MACCHINE,,026554677
,ALTAGUARDIA 6 SRL PALESTRA CENTRO ESTETICO,VIA ALTAGUARDIA   6,5,FITNESS MACCHINE,, 0258302528
,A.S. CRISTAL CLUB,VIA AMPERE ANDREA MARIA   122,3,FITNESS MACCHINE,,0226111950
